HPSA Name,Designation Type,HPSA Score,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,Rural Status,Common County Name,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State Name,County Equivalent Name,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Provider Ratio Goal,HPSA Shortage,Region Alias
Divide County,Geographic HPSA,13,Designated,2019-12-31,2021-09-10,0.4,2238.0,8.9,5595:1,Rural,"Divide County, ND",Region 8,ND,38023,North Dakota,Divide,1400.0,838.0,3500:1,0.24,Rocky Mountains
Mercer County,Geographic HPSA,11,Designated,2014-03-25,2021-09-10,1.78,8251.0,7.1,4635:1,Rural,"Mercer County, ND",Region 8,ND,38057,North Dakota,Mercer,6230.0,2021.0,3500:1,0.58,Rocky Mountains
Griggs County,Geographic HPSA,13,Designated,2007-05-08,2021-09-10,0.0,2312.0,7.8,,Rural,"Griggs County, ND",Region 8,ND,38039,North Dakota,Griggs,0.0,2312.0,3500:1,0.66,Rocky Mountains
Bowman County,Geographic HPSA,14,Designated,2016-12-27,2021-07-02,0.375,3069.0,7.7,8184:1,Rural,"Bowman County, ND",Region 8,ND,38011,North Dakota,Bowman,1312.0,1757.0,3500:1,0.505,Rocky Mountains
Sargent County,Geographic HPSA,15,Designated,1990-09-28,2021-09-10,0.0,3804.0,4.1,,Rural,"Sargent County, ND",Region 8,ND,38081,North Dakota,Sargent,0.0,3804.0,3500:1,1.09,Rocky Mountains
Eddy/Foster Counties,Geographic HPSA,13,Designated,2006-04-10,2021-07-02,0.65,5388.0,8.7,8289:1,Rural,"Eddy County, ND",Region 8,ND,38027,North Dakota,Eddy,2275.0,3113.0,3500:1,0.89,Rocky Mountains
Eddy/Foster Counties,Geographic HPSA,13,Designated,2006-04-10,2021-07-02,0.65,5388.0,8.7,8289:1,Rural,"Foster County, ND",Region 8,ND,38031,North Dakota,Foster,2275.0,3113.0,3500:1,0.89,Rocky Mountains
Mountrail County,Geographic HPSA,17,Designated,2020-02-19,2021-09-07,0.55,10264.0,10.4,18662:1,Rural,"Mountrail County, ND",Region 8,ND,38061,North Dakota,Mountrail,1925.0,8339.0,3500:1,2.38,Rocky Mountains
Treasure County,Geographic HPSA,12,Designated,2011-09-29,2021-08-05,0.15,668.0,17.2,4453:1,Rural,"Treasure County, MT",Region 8,MT,30103,Montana,Treasure,525.0,143.0,3500:1,0.04,Rocky Mountains
Carter County,Geographic HPSA,9,Designated,2020-03-25,2021-08-06,0.0,1307.0,13.0,,Rural,"Carter County, MT",Region 8,MT,30011,Montana,Carter,0.0,1307.0,3500:1,0.37,Rocky Mountains
Musselshell County,Geographic HPSA,18,Designated,1978-10-05,2021-08-05,0.0,4708.0,12.6,,Rural,"Musselshell County, MT",Region 8,MT,30065,Montana,Musselshell,0.0,4708.0,3500:1,1.35,Rocky Mountains
Liberty County,Geographic HPSA,19,Proposed For Withdrawal,2017-12-01,2021-09-10,0.0,2190.0,16.5,,Rural,"Liberty County, MT",Region 8,MT,30051,Montana,Liberty,0.0,2190.0,3500:1,0.63,Rocky Mountains
Fallon County,High Needs Geographic HPSA,16,Proposed For Withdrawal,2019-12-23,2021-07-02,0.0,2839.0,6.9,,Rural,"Fallon County, MT",Region 8,MT,30025,Montana,Fallon,0.0,2839.0,3000:1,0.95,Rocky Mountains
Granite County,Geographic HPSA,15,Designated,1996-04-25,2021-08-04,0.0,3243.0,7.8,,Rural,"Granite County, MT",Region 8,MT,30039,Montana,Granite,0.0,3243.0,3500:1,0.93,Rocky Mountains
Yalobusha County,High Needs Geographic HPSA,17,Proposed For Withdrawal,1978-07-07,2021-09-10,2.825,12188.0,21.5,4314:1,Rural,"Yalobusha County, MS",Region 4,MS,28161,Mississippi,Yalobusha,8475.0,3713.0,3000:1,1.235,Southeast
Marion County,High Needs Geographic HPSA,12,Designated,1978-07-07,2021-09-10,5.55,24267.0,25.5,4372:1,Rural,"Marion County, MS",Region 4,MS,28091,Mississippi,Marion,16650.0,7617.0,3000:1,2.54,Southeast
Tishomingo County,High Needs Geographic HPSA,9,Proposed For Withdrawal,2006-02-09,2021-08-30,4.9,19214.0,16.6,3921:1,Rural,"Tishomingo County, MS",Region 4,MS,28141,Mississippi,Tishomingo,14700.0,4514.0,3000:1,1.5,Southeast
Walthall County,High Needs Geographic HPSA,13,Designated,2022-04-21,2022-04-21,4.125,14304.0,23.9,3468:1,Rural,"Walthall County, MS",Region 4,MS,28147,Mississippi,Walthall,12375.0,1929.0,3000:1,0.645,Southeast
Calhoun County,High Needs Geographic HPSA,14,Designated,1980-01-17,2021-09-10,3.875,14217.0,21.5,3669:1,Rural,"Calhoun County, MS",Region 4,MS,28013,Mississippi,Calhoun,11625.0,2592.0,3000:1,0.865,Southeast
Issaquena/Sharkey Counties,High Needs Geographic HPSA,21,Proposed For Withdrawal,1984-03-14,2021-09-10,1.05,5630.0,33.1,5362:1,Rural,"Issaquena County, MS",Region 4,MS,28055,Mississippi,Issaquena,3150.0,2480.0,3000:1,0.83,Southeast
Issaquena/Sharkey Counties,High Needs Geographic HPSA,21,Proposed For Withdrawal,1984-03-14,2021-09-10,1.05,5630.0,33.1,5362:1,Rural,"Sharkey County, MS",Region 4,MS,28125,Mississippi,Sharkey,3150.0,2480.0,3000:1,0.83,Southeast
Smith County,High Needs Geographic HPSA,17,Designated,1979-06-13,2021-09-10,1.5,15890.0,18.8,10593:1,Rural,"Smith County, MS",Region 4,MS,28129,Mississippi,Smith,4500.0,11390.0,3000:1,3.8,Southeast
Lamar County,Geographic HPSA,14,Proposed For Withdrawal,1979-06-13,2021-09-10,11.65,57523.0,16.0,4938:1,Partially Rural,"Lamar County, MS",Region 4,MS,28073,Mississippi,Lamar,40775.0,16748.0,3500:1,4.79,Southeast
Jasper County,Geographic HPSA,15,Designated,2022-04-15,2022-04-15,3.675,16426.0,22.2,4470:1,Rural,"Jasper County, MS",Region 4,MS,28061,Mississippi,Jasper,12862.0,3564.0,3500:1,1.015,Southeast
Leflore County,High Needs Geographic HPSA,16,Proposed For Withdrawal,1978-09-01,2021-09-10,9.315,29109.0,40.4,3125:1,Rural,"Leflore County, MS",Region 4,MS,28083,Mississippi,Leflore,27945.0,1164.0,3000:1,0.385,Southeast
Panola County,High Needs Geographic HPSA,14,Designated,1992-09-30,2021-09-10,4.65,33893.0,20.2,7289:1,Rural,"Panola County, MS",Region 4,MS,28107,Mississippi,Panola,13950.0,19943.0,3000:1,6.65,Southeast
Pearl River County,High Needs Geographic HPSA,12,Proposed For Withdrawal,1992-09-30,2021-09-08,11.83,53946.0,21.9,4560:1,Rural,"Pearl River County, MS",Region 4,MS,28109,Mississippi,Pearl River,35490.0,18456.0,3000:1,6.15,Southeast
Wilkinson County,High Needs Geographic HPSA,14,Designated,1989-08-17,2021-09-08,2.875,8974.0,34.6,3121:1,Rural,"Wilkinson County, MS",Region 4,MS,28157,Mississippi,Wilkinson,8625.0,349.0,3000:1,0.115,Southeast
Wayne County,High Needs Geographic HPSA,13,Proposed For Withdrawal,1984-03-14,2021-09-10,6.205,20209.0,25.4,3257:1,Rural,"Wayne County, MS",Region 4,MS,28153,Mississippi,Wayne,18615.0,1594.0,3000:1,0.535,Southeast
Marshall County,High Needs Geographic HPSA,15,Proposed For Withdrawal,1979-06-13,2021-09-10,3.1,34649.0,19.3,11177:1,Rural,"Marshall County, MS",Region 4,MS,28093,Mississippi,Marshall,9300.0,25349.0,3000:1,8.45,Southeast
Chickasaw County,High Needs Geographic HPSA,11,Designated,1978-09-01,2021-09-10,4.925,16726.0,20.5,3396:1,Rural,"Chickasaw County, MS",Region 4,MS,28017,Mississippi,Chickasaw,14775.0,1951.0,3000:1,0.655,Southeast
Perry County,High Needs Geographic HPSA,16,Proposed For Withdrawal,1979-06-13,2021-08-27,2.43,12086.0,20.8,4974:1,Rural,"Perry County, MS",Region 4,MS,28111,Mississippi,Perry,7290.0,4796.0,3000:1,1.6,Southeast
Monroe County,High Needs Geographic HPSA,18,Proposed For Withdrawal,2011-12-14,2021-09-10,7.68,35909.0,21.3,4676:1,Rural,"Monroe County, MS",Region 4,MS,28095,Mississippi,Monroe,23040.0,12869.0,3000:1,4.29,Southeast
Newton County,Geographic HPSA,19,Proposed For Withdrawal,1978-06-30,2021-09-10,2.15,20971.0,23.3,9754:1,Rural,"Newton County, MS",Region 4,MS,28101,Mississippi,Newton,7525.0,13446.0,3500:1,3.84,Southeast
Winston County,High Needs Geographic HPSA,18,Designated,1979-06-13,2021-09-10,3.0,17771.0,23.0,5924:1,Rural,"Winston County, MS",Region 4,MS,28159,Mississippi,Winston,9000.0,8771.0,3000:1,2.92,Southeast
Humphreys County,High Needs Geographic HPSA,20,Designated,1979-06-13,2021-09-10,0.43,8299.0,36.3,19300:1,Rural,"Humphreys County, MS",Region 4,MS,28053,Mississippi,Humphreys,1290.0,7009.0,3000:1,2.34,Southeast
Montgomery County,High Needs Geographic HPSA,16,Designated,2007-08-08,2021-09-10,1.2,9909.0,27.1,8258:1,Rural,"Montgomery County, MS",Region 4,MS,28097,Mississippi,Montgomery,3600.0,6309.0,3000:1,2.1,Southeast
Carroll County,High Needs Geographic HPSA,21,Proposed For Withdrawal,2013-11-08,2021-09-10,0.0,10148.0,22.1,,Rural,"Carroll County, MS",Region 4,MS,28015,Mississippi,Carroll,0.0,10148.0,3000:1,3.38,Southeast
Washington County,High Needs Geographic HPSA,21,Proposed For Withdrawal,1980-01-17,2021-09-10,9.87,49366.0,37.5,5002:1,Rural,"Washington County, MS",Region 4,MS,28151,Mississippi,Washington,29610.0,19756.0,3000:1,6.59,Southeast
Greene County,Geographic HPSA,11,Designated,2021-12-30,2021-12-30,1.0,9776.0,18.4,9776:1,Rural,"Greene County, MS",Region 4,MS,28041,Mississippi,Greene,3500.0,6276.0,3500:1,1.79,Southeast
Jefferson Davis County,High Needs Geographic HPSA,12,Designated,1979-06-13,2021-09-10,2.9,11157.0,24.9,3847:1,Rural,"Jefferson Davis County, MS",Region 4,MS,28065,Mississippi,Jefferson Davis,8700.0,2457.0,3000:1,0.82,Southeast
Tate County,Geographic HPSA,13,Proposed For Withdrawal,1979-05-01,2021-09-09,6.41,26826.0,17.1,4185:1,Rural,"Tate County, MS",Region 4,MS,28137,Mississippi,Tate,22435.0,4391.0,3500:1,1.25,Southeast
Tallahatchie County,High Needs Geographic HPSA,23,Designated,2022-03-10,2022-03-10,1.0,11718.0,31.6,11718:1,Rural,"Tallahatchie County, MS",Region 4,MS,28135,Mississippi,Tallahatchie,3000.0,8718.0,3000:1,2.91,Southeast
Jefferson County,High Needs Geographic HPSA,18,Designated,1980-01-25,2021-09-10,1.0,6722.0,37.6,6722:1,Rural,"Jefferson County, MS",Region 4,MS,28063,Mississippi,Jefferson,3000.0,3722.0,3000:1,1.24,Southeast
Lac Qui Parle County,Geographic HPSA,11,Designated,2021-12-10,2021-12-10,1.525,6576.0,8.3,4312:1,Rural,"Lac qui Parle County, MN",Region 5,MN,27073,Minnesota,Lac qui Parle,5338.0,1238.0,3500:1,0.355,Great Lakes
Cattaraugus County,Geographic HPSA,8,Proposed For Withdrawal,2017-12-28,2021-09-10,19.44,76841.0,17.7,3953:1,Rural,"Cattaraugus County, NY",Region 2,NY,36009,New York,Cattaraugus,68040.0,8801.0,3500:1,2.51,Northeast Corridor
Amite County,High Needs Geographic HPSA,14,Designated,2004-09-01,2021-09-10,2.675,12298.0,26.6,4597:1,Rural,"Amite County, MS",Region 4,MS,28005,Mississippi,Amite,8025.0,4273.0,3000:1,1.425,Southeast
Copiah County,High Needs Geographic HPSA,13,Designated,1984-09-10,2021-09-10,6.75,27541.0,24.0,4080:1,Rural,"Copiah County, MS",Region 4,MS,28029,Mississippi,Copiah,20250.0,7291.0,3000:1,2.43,Southeast
Prentiss County,High Needs Geographic HPSA,12,Proposed For Withdrawal,1980-01-22,2021-09-10,7.125,24205.0,22.6,3397:1,Rural,"Prentiss County, MS",Region 4,MS,28117,Mississippi,Prentiss,21375.0,2830.0,3000:1,0.945,Southeast
Tunica County,High Needs Geographic HPSA,21,Proposed For Withdrawal,1979-06-13,2021-09-10,1.0,10283.0,28.4,10283:1,Rural,"Tunica County, MS",Region 4,MS,28143,Mississippi,Tunica,3000.0,7283.0,3000:1,2.43,Southeast
Yazoo County,High Needs Geographic HPSA,16,Designated,1979-06-13,2021-09-10,5.0,23575.0,31.8,4715:1,Rural,"Yazoo County, MS",Region 4,MS,28163,Mississippi,Yazoo,15000.0,8575.0,3000:1,2.86,Southeast
Holmes County,High Needs Geographic HPSA,11,Designated,1979-06-13,2021-09-10,5.055,17005.0,42.3,3364:1,Rural,"Holmes County, MS",Region 4,MS,28051,Mississippi,Holmes,15165.0,1840.0,3000:1,0.615,Southeast
Webster County,High Needs Geographic HPSA,13,Proposed For Withdrawal,2004-09-01,2021-09-10,2.83,9942.0,22.6,3513:1,Rural,"Webster County, MS",Region 4,MS,28155,Mississippi,Webster,8490.0,1452.0,3000:1,0.48,Southeast
Marshall County,Geographic HPSA,14,Designated,1979-11-19,2021-09-07,0.0,9265.0,6.8,,Rural,"Marshall County, MN",Region 5,MN,27089,Minnesota,Marshall,0.0,9265.0,3500:1,2.65,Great Lakes
Renville County - RSA 42,Geographic HPSA,16,Designated,1980-05-13,2021-09-08,1.3,14231.0,9.9,10947:1,Rural,"Renville County, MN",Region 5,MN,27129,Minnesota,Renville,4550.0,9681.0,3500:1,2.77,Great Lakes
Valencia County,Geographic HPSA,17,Proposed For Withdrawal,2012-08-21,2021-09-10,9.0,74466.0,24.8,8274:1,Partially Rural,"Valencia County, NM",Region 6,NM,35061,New Mexico,Valencia,31500.0,42966.0,3500:1,12.28,South Central
Guadalupe County,High Needs Geographic HPSA,17,Designated,1978-10-27,2021-09-10,0.2,3650.0,15.3,18250:1,Rural,"Guadalupe County, NM",Region 6,NM,35019,New Mexico,Guadalupe,600.0,3050.0,3000:1,1.02,South Central
McKinley County,High Needs Geographic HPSA,17,Designated,1979-05-30,2021-09-10,13.7,71737.0,34.8,5236:1,Rural,"McKinley County, NM",Region 6,NM,35031,New Mexico,McKinley,41100.0,30637.0,3000:1,10.21,South Central
Hidalgo County,High Needs Geographic HPSA,20,Designated,1978-10-27,2021-09-10,0.5,4183.0,25.7,8366:1,Rural,"Hidalgo County, NM",Region 6,NM,35023,New Mexico,Hidalgo,1500.0,2683.0,3000:1,0.89,South Central
Loup County,Geographic HPSA,4,Designated,2023-05-24,2023-05-24,0.0,690.0,8.8,,Rural,"Loup County, NE",Region 7,NE,31115,Nebraska,Loup,0.0,690.0,3500:1,0.2,Northern Plains
Keith County,Geographic HPSA,13,Proposed For Withdrawal,2019-04-23,2021-09-10,1.8,7999.0,12.7,4444:1,Rural,"Keith County, NE",Region 7,NE,31101,Nebraska,Keith,6300.0,1699.0,3500:1,0.49,Northern Plains
Garden County,Geographic HPSA,10,Designated,2018-08-24,2021-09-10,0.0,1827.0,7.7,,Rural,"Garden County, NE",Region 7,NE,31069,Nebraska,Garden,0.0,1827.0,3500:1,0.52,Northern Plains
Deuel County,Geographic HPSA,7,Designated,2022-03-07,2022-03-07,0.4,1812.0,8.7,4530:1,Rural,"Deuel County, NE",Region 7,NE,31049,Nebraska,Deuel,1400.0,412.0,3500:1,0.12,Northern Plains
Sioux County,Geographic HPSA,8,Designated,2023-05-24,2023-05-24,0.0,1298.0,8.0,,Rural,"Sioux County, NE",Region 7,NE,31165,Nebraska,Sioux,0.0,1298.0,3500:1,0.37,Northern Plains
Blaine County,Geographic HPSA,4,Designated,2022-03-07,2022-03-07,0.0,477.0,13.0,,Rural,"Blaine County, NE",Region 7,NE,31009,Nebraska,Blaine,0.0,477.0,3500:1,0.14,Northern Plains
Gosper County,Geographic HPSA,12,Designated,2023-05-24,2023-05-24,0.0,1964.0,5.1,,Rural,"Gosper County, NE",Region 7,NE,31073,Nebraska,Gosper,0.0,1964.0,3500:1,0.56,Northern Plains
Hayes County,Geographic HPSA,6,Designated,2022-03-07,2022-03-07,0.0,893.0,11.0,,Rural,"Hayes County, NE",Region 7,NE,31085,Nebraska,Hayes,0.0,893.0,3500:1,0.26,Northern Plains
Cass County,Geographic HPSA,12,Designated,2022-01-21,2022-01-21,1.0,25271.0,6.8,25271:1,Non-Rural,"Cass County, NE",Region 7,NE,31025,Nebraska,Cass,3500.0,21771.0,3500:1,6.22,Northern Plains
Hitchcock County,Geographic HPSA,15,Proposed For Withdrawal,2012-12-27,2021-09-10,0.18,2813.0,14.6,15628:1,Rural,"Hitchcock County, NE",Region 7,NE,31087,Nebraska,Hitchcock,630.0,2183.0,3500:1,0.62,Northern Plains
Wheeler County,Geographic HPSA,4,Designated,2023-05-24,2023-05-24,0.0,689.0,12.6,,Rural,"Wheeler County, NE",Region 7,NE,31183,Nebraska,Wheeler,0.0,689.0,3500:1,0.2,Northern Plains
Grant County,Geographic HPSA,8,Designated,2023-05-24,2023-05-24,0.0,662.0,17.3,,Rural,"Grant County, NE",Region 7,NE,31075,Nebraska,Grant,0.0,662.0,3500:1,0.19,Northern Plains
Chase County,Geographic HPSA,11,Designated,2022-03-07,2022-03-07,0.7,3712.0,9.6,5303:1,Rural,"Chase County, NE",Region 7,NE,31029,Nebraska,Chase,2450.0,1262.0,3500:1,0.36,Northern Plains
Cass County,Geographic HPSA,12,Proposed For Withdrawal,2020-12-31,2021-09-10,1.5,25240.0,6.4,16827:1,Non-Rural,"Cass County, NE",Region 7,NE,31025,Nebraska,Cass,5250.0,19990.0,3500:1,5.71,Northern Plains
Frontier County,Geographic HPSA,12,Designated,2022-01-11,2022-01-11,0.0,2525.0,8.9,,Rural,"Frontier County, NE",Region 7,NE,31063,Nebraska,Frontier,0.0,2525.0,3500:1,0.72,Northern Plains
Banner County,Geographic HPSA,4,Designated,2022-03-07,2022-03-07,0.0,719.0,5.8,,Rural,"Banner County, NE",Region 7,NE,31007,Nebraska,Banner,0.0,719.0,3500:1,0.21,Northern Plains
Keya Paha County,Geographic HPSA,5,Designated,2022-03-07,2022-03-07,0.0,760.0,7.5,,Rural,"Keya Paha County, NE",Region 7,NE,31103,Nebraska,Keya Paha,0.0,760.0,3500:1,0.22,Northern Plains
Brown County,Geographic HPSA,13,Designated,2023-05-24,2023-05-24,0.5,2840.0,9.6,5680:1,Rural,"Brown County, NE",Region 7,NE,31017,Nebraska,Brown,1750.0,1090.0,3500:1,0.31,Northern Plains
Greeley County,Geographic HPSA,10,Designated,2023-05-24,2023-05-24,0.35,2328.0,13.7,6651:1,Rural,"Greeley County, NE",Region 7,NE,31077,Nebraska,Greeley,1225.0,1103.0,3500:1,0.32,Northern Plains
Thomas County,Geographic HPSA,7,Designated,2023-05-24,2023-05-24,0.0,586.0,11.0,,Rural,"Thomas County, NE",Region 7,NE,31171,Nebraska,Thomas,0.0,586.0,3500:1,0.17,Northern Plains
Keya Paha County,High Needs Geographic HPSA,8,Proposed For Withdrawal,1986-09-16,2021-09-10,0.0,739.0,15.2,,Rural,"Keya Paha County, NE",Region 7,NE,31103,Nebraska,Keya Paha,0.0,739.0,3000:1,0.25,Northern Plains
Logan County,Geographic HPSA,5,Designated,2022-03-07,2022-03-07,0.0,918.0,11.3,,Rural,"Logan County, NE",Region 7,NE,31113,Nebraska,Logan,0.0,918.0,3500:1,0.26,Northern Plains
Holt County,Geographic HPSA,8,Designated,2022-04-15,2022-04-15,0.925,4310.0,10.0,4659:1,Rural,"Holt County, MO",Region 7,MO,29087,Missouri,Holt,3238.0,1072.0,3500:1,0.305,Northern Plains
Cole County,Geographic HPSA,10,Designated,2022-04-21,2022-04-21,20.45,71670.0,10.3,3505:1,Non-Rural,"Cole County, MO",Region 7,MO,29051,Missouri,Cole,71575.0,95.0,3500:1,0.03,Northern Plains
Osage/Maries Counties,Geographic HPSA,14,Designated,2022-04-15,2022-04-15,3.2,22019.0,11.1,6881:1,Rural,"Maries County, MO",Region 7,MO,29125,Missouri,Maries,11200.0,10819.0,3500:1,3.09,Northern Plains
Osage/Maries Counties,Geographic HPSA,14,Designated,2022-04-15,2022-04-15,3.2,22019.0,11.1,6881:1,Rural,"Osage County, MO",Region 7,MO,29151,Missouri,Osage,11200.0,10819.0,3500:1,3.09,Northern Plains
Hickory County,Geographic HPSA,16,Proposed For Withdrawal,2006-02-22,2021-09-10,0.95,9279.0,24.0,9767:1,Rural,"Hickory County, MO",Region 7,MO,29085,Missouri,Hickory,3325.0,5954.0,3500:1,1.7,Northern Plains
Polk/Red Lake Counties,Geographic HPSA,9,Designated,2021-09-07,2021-09-07,7.725,34414.0,11.6,4455:1,Rural,"Red Lake County, MN",Region 5,MN,27125,Minnesota,Red Lake,27038.0,7376.0,3500:1,2.105,Great Lakes
Polk/Red Lake Counties,Geographic HPSA,9,Designated,2021-09-07,2021-09-07,7.725,34414.0,11.6,4455:1,Partially Rural,"Polk County, MN",Region 5,MN,27119,Minnesota,Polk,27038.0,7376.0,3500:1,2.105,Great Lakes
Martin County,Geographic HPSA,11,Designated,2022-03-08,2022-03-08,4.7,19550.0,13.7,4160:1,Rural,"Martin County, MN",Region 5,MN,27091,Minnesota,Martin,16450.0,3100.0,3500:1,0.89,Great Lakes
Clearwater County,Geographic HPSA,12,Designated,1979-10-01,2021-09-07,1.45,8619.0,14.6,5944:1,Rural,"Clearwater County, MN",Region 5,MN,27029,Minnesota,Clearwater,5075.0,3544.0,3500:1,1.01,Great Lakes
Butler County,High Needs Geographic HPSA,15,Proposed For Withdrawal,2016-12-16,2021-09-10,2.0,13067.0,27.3,6534:1,Rural,"Butler County, KY",Region 4,KY,21031,Kentucky,Butler,6000.0,7067.0,3000:1,2.36,Southeast
Hancock County,Geographic HPSA,17,Proposed For Withdrawal,2018-07-18,2021-09-10,0.0,8569.0,16.0,,Rural,"Hancock County, KY",Region 4,KY,21091,Kentucky,Hancock,0.0,8569.0,3500:1,2.45,Southeast
Ohio County,High Needs Geographic HPSA,8,Designated,2015-11-25,2021-09-10,5.3,23494.0,18.8,4433:1,Rural,"Ohio County, KY",Region 4,KY,21183,Kentucky,Ohio,15900.0,7594.0,3000:1,2.53,Southeast
Trigg County,Geographic HPSA,13,Designated,2020-02-28,2021-09-10,2.6,14224.0,11.7,5471:1,Rural,"Trigg County, KY",Region 4,KY,21221,Kentucky,Trigg,9100.0,5124.0,3500:1,1.46,Southeast
Johnson County,High Needs Geographic HPSA,9,Designated,2021-08-04,2021-08-04,7.8,23558.0,22.6,3020:1,Rural,"Johnson County, KY",Region 4,KY,21115,Kentucky,Johnson,23400.0,158.0,3000:1,0.05,Southeast
Jackson County,High Needs Geographic HPSA,17,Designated,1979-03-09,2021-09-10,1.5,13241.0,32.0,8827:1,Rural,"Jackson County, KY",Region 4,KY,21109,Kentucky,Jackson,4500.0,8741.0,3000:1,2.91,Southeast
Washington County,Geographic HPSA,11,Designated,2022-02-18,2022-02-18,2.8,11659.0,15.2,4164:1,Rural,"Washington County, KY",Region 4,KY,21229,Kentucky,Washington,9800.0,1859.0,3500:1,0.53,Southeast
Crittenden County,High Needs Geographic HPSA,10,Proposed For Withdrawal,2020-03-18,2021-09-10,3.2,9708.0,21.2,3034:1,Rural,"Crittenden County, KY",Region 4,KY,21055,Kentucky,Crittenden,9600.0,108.0,3000:1,0.04,Southeast
Fulton County,High Needs Geographic HPSA,13,Proposed For Withdrawal,2017-12-27,2021-09-10,2.0,7084.0,24.6,3542:1,Rural,"Fulton County, KY",Region 4,KY,21075,Kentucky,Fulton,6000.0,1084.0,3000:1,0.36,Southeast
Simpson County,Geographic HPSA,9,Proposed For Withdrawal,2016-12-05,2021-09-10,4.83,17773.0,19.5,3680:1,Rural,"Simpson County, KY",Region 4,KY,21213,Kentucky,Simpson,16905.0,868.0,3500:1,1.09,Southeast
Cumberland County,High Needs Geographic HPSA,12,Proposed For Withdrawal,2016-12-16,2021-09-10,1.5,7205.0,26.0,4803:1,Rural,"Cumberland County, KY",Region 4,KY,21057,Kentucky,Cumberland,4500.0,2705.0,3000:1,0.9,Southeast
Bracken County,Geographic HPSA,12,Proposed For Withdrawal,2017-12-28,2021-09-10,2.1,8666.0,17.0,4127:1,Rural,"Bracken County, KY",Region 4,KY,21023,Kentucky,Bracken,7350.0,1316.0,3500:1,0.38,Southeast
White County,Geographic HPSA,13,Designated,2022-06-28,2022-06-28,3.535,23801.0,9.2,6733:1,Rural,"White County, IN",Region 5,IN,18181,Indiana,White,12372.0,11429.0,3500:1,3.265,Great Lakes
Warren County,Geographic HPSA,11,Proposed For Withdrawal,1978-07-12,2021-09-10,1.95,8262.0,6.8,4237:1,Rural,"Warren County, IN",Region 5,IN,18171,Indiana,Warren,6825.0,1437.0,3500:1,0.41,Great Lakes
Jasper County,Geographic HPSA,7,Proposed For Withdrawal,2015-12-29,2021-09-10,9.04,32438.0,8.3,3588:1,Rural,"Jasper County, IN",Region 5,IN,18073,Indiana,Jasper,31640.0,798.0,3500:1,0.23,Great Lakes
Concordia Parish,High Needs Geographic HPSA,14,Designated,1993-01-25,2021-09-10,4.375,17711.0,25.0,4048:1,Rural,"Concordia Parish, LA",Region 6,LA,22029,Louisiana,Concordia,13125.0,4586.0,3000:1,1.525,South Central
Claiborne Parish,Geographic HPSA,16,Proposed For Withdrawal,2019-04-23,2021-09-10,3.775,14401.0,30.3,3815:1,Rural,"Claiborne Parish, LA",Region 6,LA,22027,Louisiana,Claiborne,13212.0,1189.0,3500:1,0.335,South Central
Grant Parish,Geographic HPSA,14,Designated,1978-05-31,2021-09-10,0.5,19110.0,18.8,38220:1,Non-Rural,"Grant Parish, LA",Region 6,LA,22043,Louisiana,Grant,1750.0,17360.0,3500:1,4.96,South Central
Avoyelles Parish,High Needs Geographic HPSA,10,Designated,1984-03-06,2021-09-10,10.675,36889.0,24.3,3456:1,Rural,"Avoyelles Parish, LA",Region 6,LA,22009,Louisiana,Avoyelles,32025.0,4864.0,3000:1,1.625,South Central
Pointe Coupee Parish,Geographic HPSA,12,Proposed For Withdrawal,2017-11-24,2021-09-10,4.625,22103.0,18.9,4779:1,Rural,"Pointe Coupee Parish, LA",Region 6,LA,22077,Louisiana,Pointe Coupee,16188.0,5915.0,3500:1,1.695,South Central
Union Parish,High Needs Geographic HPSA,15,Designated,1988-08-02,2021-09-10,4.28,21759.0,17.2,5084:1,Rural,"Union Parish, LA",Region 6,LA,22111,Louisiana,Union,12840.0,8919.0,3000:1,2.97,South Central
Tensas Parish,High Needs Geographic HPSA,19,Designated,2022-02-23,2022-02-23,0.2,4542.0,34.7,22710:1,Rural,"Tensas Parish, LA",Region 6,LA,22107,Louisiana,Tensas,600.0,3942.0,3000:1,1.31,South Central
Assumption Parish,Geographic HPSA,17,Designated,1979-02-13,2021-09-10,1.4,22215.0,19.1,15868:1,Partially Rural,"Assumption Parish, LA",Region 6,LA,22007,Louisiana,Assumption,4900.0,17315.0,3500:1,4.95,South Central
Vernon Parish,Geographic HPSA,12,Designated,2022-02-22,2022-02-22,9.575,47327.0,17.2,4943:1,Rural,"Vernon Parish, LA",Region 6,LA,22115,Louisiana,Vernon,33512.0,13815.0,3500:1,3.945,South Central
St. Helena Parish,High Needs Geographic HPSA,15,Proposed For Withdrawal,1979-07-10,2021-09-10,2.2,10483.0,27.6,4765:1,Rural,"St. Helena Parish, LA",Region 6,LA,22091,Louisiana,St. Helena,6600.0,3883.0,3000:1,1.29,South Central
Franklin Parish,High Needs Geographic HPSA,13,Designated,1984-03-06,2021-09-10,5.15,19026.0,28.9,3694:1,Rural,"Franklin Parish, LA",Region 6,LA,22041,Louisiana,Franklin,15450.0,3576.0,3000:1,1.19,South Central
